
Título                                     
-------------------------------------------
Produtividade Ano x Estado - Mil HA x Mil T


Es       2017       2018       2019       2020       2021       2022       2023       2024
-- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
AC       2.43       1.32       1.48       1.56       2.04       2.39       2.38        2.4
AL        .73        .54        .39        .59        .95        .71        .67        .87
AM       2.56       1.23        .83        .83        .84        .94        .99       1.07
AP          1         .5        .33        .33        .31         .3        .31        .33
BA       3.34       2.66       2.08       2.35       3.91       4.04       3.56       3.97
CE        .78        .35         .3        .29        .32         .3        .34        .33
DF       7.77       7.91       5.41       5.22       5.08       5.21       4.97        5.4
ES       2.86       1.42        .93        .93        .97       1.05        1.3        2.6
GO       6.87       7.03       4.74       4.68       5.15       5.38       5.03        5.4
MA       3.78       4.17       3.01       3.13       3.35       3.37       3.33       3.27
MG       5.95       6.15       4.23       3.97       3.93       4.09       3.81       3.87

Es       2017       2018       2019       2020       2021       2022       2023       2024
-- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
MS       6.99       6.87       4.64       4.83       5.29       5.26       4.88        5.2
MT        6.7        6.7       4.79       4.76       4.86       4.94       4.91       4.97
PA        3.4        3.3       2.14       2.28       2.06       2.18       2.25        2.3
PB        .61         .3        .21        .23        .22        .23        .23        .23
PE        .49         .5        .44        .46        .43        .51        .63        .73
PI       3.22       3.91       2.82       2.84       2.93       3.11       2.91       3.03
PR       6.88       7.25       5.02       4.54       4.27       4.99       4.83        4.6
RJ       2.71       1.54       1.28          1       1.12       1.35       1.45        1.5
RN        .44        .29         .2        .19        .18         .2        .19        .17
RO       3.56       3.53       2.58       2.63       2.81       2.86       2.79       2.83
RR       4.66        2.7          2       1.97       1.94          2          2          2

Es       2017       2018       2019       2020       2021       2022       2023       2024
-- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
RS       6.78       3.75       2.02       1.79       1.49       1.78       2.09          2
SC       7.67       4.17        2.8       2.18       2.26       2.71       2.66       2.63
SE       3.53       2.09        1.5       1.78       1.78       1.73        1.7        1.7
SP       5.47        5.4       3.59       3.31        3.4       3.77       3.54       3.67
TO       4.28        4.8       3.41       3.08       3.41       3.62       3.72       3.87

27 rows selected. 

